type,time,price,position,balance,rsi,pnl,win,win_streak,lose_streak,month
entry,2025-03-31 14:50:00,83723.42,short,9926.65111917748,100.0,-0.009973419720242904,False,0,1,2025-03
exit,2025-03-31 17:43:00,82876.29,short,10027.662938809312,,0.010175820467456909,True,1,0,2025-03
entry,2025-03-31 18:12:00,83269.31,short,9927.662938809312,100.0,-0.009972413373905642,False,0,1,2025-03
exit,2025-03-31 19:52:00,82412.82,short,10028.6915170454,,0.01017647142724254,True,1,0,2025-03
entry,2025-04-01 05:16:00,83250.0,short,9928.6915170454,100.0,-0.009971390567755867,False,0,1,2025-04
exit,2025-04-01 08:33:00,84172.42,short,10027.583505033388,,0.009960223642582866,True,1,0,2025-04
entry,2025-04-01 14:52:00,84139.81,short,9927.583505033388,100.0,-0.009972492370649899,False,0,1,2025-04
exit,2025-04-01 15:17:00,85087.01,short,10026.457759681693,,0.009959549028036196,True,1,0,2025-04
entry,2025-04-01 15:36:00,85030.85,short,9926.457759681693,99.25855646918245,-0.009973612056903947,False,0,1,2025-04
exit,2025-04-02 05:43:00,84171.99,short,10027.46781661985,,0.010175841109044015,True,1,0,2025-04
entry,2025-04-02 10:20:00,85295.84,short,9927.46781661985,100.0,-0.009972607424803326,False,0,1,2025-04
exit,2025-04-02 15:07:00,86371.4,short,10026.206840703557,,0.009946043231528368,True,1,0,2025-04
entry,2025-04-02 15:28:00,86511.86,short,9926.206840703557,98.68902439025034,-0.009973861659628658,False,0,1,2025-04
exit,2025-04-02 20:14:00,87776.2,short,10024.745376344797,,0.009927108836496501,True,1,0,2025-04
entry,2025-04-02 20:50:00,85800.0,short,9924.745376344797,100.0,-0.009975315705869958,False,0,1,2025-04
exit,2025-04-02 21:06:00,84810.0,short,10025.899222498643,,0.010192084765715093,True,1,0,2025-04
entry,2025-04-03 01:01:00,83252.58,short,9925.899222498643,100.0,-0.009974167681198631,False,0,1,2025-04
exit,2025-04-03 12:40:00,82414.0,short,10026.906494585586,,0.010176133146505562,True,1,0,2025-04
entry,2025-04-03 15:58:00,82060.0,short,9926.906494585586,100.0,-0.00997316570709006,False,0,1,2025-04
exit,2025-04-03 23:33:00,82906.99,short,10025.874335190021,,0.009969655769238361,True,1,0,2025-04
entry,2025-04-04 03:02:00,82981.13,short,9925.874335190021,98.82250526894222,-0.009974192440155405,False,0,1,2025-04
exit,2025-04-04 07:46:00,83816.4,short,10024.867756947473,,0.009973269700432663,True,1,0,2025-04
entry,2025-04-04 09:16:00,84483.96,short,9924.867756947473,100.0,-0.009975193930183979,False,0,1,2025-04
exit,2025-04-04 10:16:00,83604.78,short,10025.90840418986,,0.010180553506283108,True,1,0,2025-04
entry,2025-04-04 11:35:00,82186.96,short,9925.90840418986,100.0,-0.00997415854689132,False,0,1,2025-04
exit,2025-04-04 13:01:00,83098.01,short,10024.799895005435,,0.009962966288690644,True,1,0,2025-04
entry,2025-04-04 13:04:00,83281.99,short,9924.799895005435,98.55182605024268,-0.009975261456323103,False,0,1,2025-04
exit,2025-04-04 13:36:00,82338.25,short,10025.933081184103,,0.01018994712725263,True,1,0,2025-04
entry,2025-04-04 17:41:00,84369.8,short,9925.933081184103,99.5035288391334,-0.009974133997330603,False,0,1,2025-04
exit,2025-04-04 20:18:00,83516.3,short,10026.944699085296,,0.010176536258608593,True,1,0,2025-04
entry,2025-04-04 20:25:00,83752.44,short,9926.944699085296,100.0,-0.009973127707498253,False,0,1,2025-04
exit,2025-04-05 13:20:00,82785.61,short,10028.099089333507,,0.010189881510827004,True,1,0,2025-04
entry,2025-04-05 14:22:00,82882.48,short,9928.099089333507,100.0,-0.00997197964531149,False,0,1,2025-04
exit,2025-04-06 01:30:00,83740.68,short,10027.063647343837,,0.009968127545851635,True,1,0,2025-04
entry,2025-04-06 03:10:00,83290.85,short,9927.063647343837,99.97919700437953,-0.009973009399066646,False,0,1,2025-04
exit,2025-04-06 13:45:00,82455.01,short,10028.067166938126,,0.010174561499997514,True,1,0,2025-04
entry,2025-04-06 14:10:00,82533.98,short,9928.067166938126,98.92171845814494,-0.009972011389163149,False,0,1,2025-04
exit,2025-04-06 17:14:00,81688.67,short,10029.091363275198,,0.010175615720398934,True,1,0,2025-04
